GENE_ID 29126 COMMON,CD274
TCGA-55-7816-01,-0.2375
TCGA-55-7903-01,0.2129
TCGA-55-7907-01,-0.4659
TCGA-55-7910-01,-0.5672
TCGA-55-7911-01,0.3273
TCGA-55-7914-01,-0.3475
TCGA-69-7760-01,-0.5823
TCGA-69-7761-01,-0.2281
TCGA-69-7763-01,-0.5149
TCGA-69-7764-01,-0.5338
TCGA-69-7765-01,-0.4156
TCGA-86-7701-01,-0.3566
TCGA-86-7714-01,-0.5903
TCGA-91-7771-01,-0.4192
TCGA-97-7937-01,-0.6258
TCGA-97-7938-01,-0.1932
TCGA-55-7728-01,-0.3395
TCGA-55-7994-01,2.9305
TCGA-55-7995-01,0.0039
TCGA-69-7973-01,-0.5337
TCGA-69-7974-01,1.0824
TCGA-69-7978-01,2.4487
TCGA-69-7979-01,-0.4525
TCGA-69-7980-01,-0.2341
TCGA-73-7498-01,-0.5924
TCGA-73-7499-01,-0.4440
TCGA-86-7953-01,-0.4979
TCGA-86-7954-01,-0.1891
TCGA-86-7955-01,-0.6053
TCGA-93-7347-01,-0.4154
TCGA-95-7944-01,0.3458
TCGA-95-7947-01,-0.3684
TCGA-95-7948-01,-0.6508
TCGA-97-7941-01,-0.5825
TCGA-44-8117-01,-0.2100
TCGA-44-8119-01,-0.4426
TCGA-44-8120-01,-0.5056
TCGA-55-7284-01,-0.3799
TCGA-55-7913-01,-0.6391
TCGA-55-8085-01,-0.4884
TCGA-55-8087-01,-0.6292
TCGA-55-8089-01,0.3750
TCGA-55-8090-01,0.3932
TCGA-55-8091-01,0.4436
TCGA-55-8092-01,-0.3069
TCGA-55-8094-01,-0.6620
TCGA-55-8096-01,-0.5283
TCGA-55-8097-01,-0.5779
TCGA-55-8203-01,-0.3984
TCGA-55-8204-01,-0.2643
TCGA-55-8205-01,2.6906
TCGA-55-8206-01,-0.4545
TCGA-55-8207-01,-0.4306
TCGA-55-8208-01,0.5963
TCGA-86-8054-01,-0.5598
TCGA-86-8055-01,-0.3288
TCGA-86-8056-01,-0.4153
TCGA-86-8073-01,-0.5920
TCGA-86-8074-01,-0.3490
TCGA-86-8075-01,-0.2348
TCGA-86-8076-01,-0.3919
TCGA-95-7562-01,-0.4833
TCGA-95-8039-01,-0.2684
TCGA-99-8025-01,-0.5433
TCGA-99-8028-01,0.6128
TCGA-99-8032-01,-0.5476
TCGA-99-8033-01,0.0402
TCGA-J2-8192-01,-0.1274
TCGA-J2-8194-01,-0.5185
TCGA-55-8299-01,0.0345
TCGA-55-8301-01,0.6935
TCGA-69-8253-01,-0.5923
TCGA-69-8254-01,-0.3002
TCGA-69-8255-01,-0.3755
TCGA-86-8278-01,-0.2788
TCGA-86-8279-01,-0.6200
TCGA-86-8280-01,-0.2928
TCGA-86-8281-01,-0.6387
TCGA-93-8067-01,-0.5634
TCGA-97-8171-01,-0.6629
TCGA-97-8172-01,-0.4776
TCGA-97-8174-01,-0.5017
TCGA-97-8175-01,0.1281
TCGA-97-8177-01,-0.4896
TCGA-97-8179-01,-0.5367
TCGA-50-8457-01,-0.4699
TCGA-50-8459-01,-0.5297
TCGA-50-8460-01,-0.4591
TCGA-55-8302-01,1.5872
TCGA-62-8394-01,-0.5399
TCGA-62-8395-01,-0.6542
TCGA-62-8397-01,-0.5496
TCGA-62-8398-01,-0.3130
TCGA-62-8399-01,-0.3202
TCGA-62-8402-01,0.0908
TCGA-69-8453-01,-0.2846
TCGA-86-8358-01,-0.5692
TCGA-86-8359-01,-0.5639
TCGA-95-8494-01,-0.1542
TCGA-55-8505-01,-0.6362
TCGA-55-8506-01,-0.3682
TCGA-55-8507-01,-0.5666
TCGA-55-8508-01,-0.5417
TCGA-55-8510-01,-0.0668
TCGA-55-8511-01,0.8969
TCGA-55-8512-01,-0.5159
TCGA-55-8513-01,-0.2961
TCGA-55-8514-01,-0.4578
TCGA-55-8614-01,-0.5536
TCGA-55-8615-01,-0.6420
TCGA-55-8616-01,-0.3296
TCGA-55-8619-01,-0.4113
TCGA-55-8620-01,-0.4552
TCGA-55-8621-01,0.3387
TCGA-71-8520-01,-0.4341
TCGA-78-8640-01,-0.5770
TCGA-78-8648-01,-0.2126
TCGA-78-8655-01,-0.4763
TCGA-78-8660-01,-0.1042
TCGA-78-8662-01,-0.6579
TCGA-86-8585-01,-0.4290
TCGA-86-8668-01,-0.4407
TCGA-86-8669-01,-0.4438
TCGA-86-8671-01,-0.1912
TCGA-86-8672-01,-0.2516
TCGA-86-8673-01,-0.6286
TCGA-86-8674-01,-0.6166
TCGA-91-8496-01,-0.2163
TCGA-91-8497-01,-0.4073
TCGA-91-8499-01,-0.5492
TCGA-97-8176-01,-0.6489
TCGA-97-8547-01,-0.4638
TCGA-97-8552-01,-0.5118
TCGA-38-A44F-01,-0.5772
TCGA-44-A479-01,-0.1835
TCGA-44-A47A-01,-0.3846
TCGA-44-A47B-01,-0.6154
TCGA-44-A47G-01,0.2029
TCGA-55-A48X-01,-0.3944
TCGA-55-A48Y-01,-0.6009
TCGA-55-A490-01,-0.5808
TCGA-55-A491-01,-0.2795
TCGA-55-A492-01,-0.6944
TCGA-55-A493-01,1.2893
TCGA-55-A4DF-01,0.1471
TCGA-55-A4DG-01,-0.5629
TCGA-62-A46O-01,-0.6297
TCGA-62-A46P-01,-0.6456
TCGA-62-A46R-01,-0.4697
TCGA-62-A46S-01,-0.5104
TCGA-62-A46U-01,1.3108
TCGA-62-A46V-01,-0.6108
TCGA-62-A46Y-01,0.0934
TCGA-62-A470-01,-0.5785
TCGA-62-A471-01,-0.5989
TCGA-62-A472-01,0.0231
TCGA-86-A456-01,-0.2356
TCGA-86-A4D0-01,-0.5831
TCGA-91-A4BC-01,-0.5131
TCGA-91-A4BD-01,-0.6406
TCGA-J2-A4AD-01,-0.5979
TCGA-J2-A4AE-01,-0.4149
TCGA-J2-A4AG-01,-0.4736
TCGA-L4-A4E6-01,-0.3747
TCGA-L9-A443-01,-0.6041
TCGA-L9-A444-01,0.7043
TCGA-44-A4SS-01,-0.4155
TCGA-44-A4SU-01,-0.5068
TCGA-53-A4EZ-01,-0.5958
TCGA-55-A48Z-01,-0.2647
TCGA-55-A494-01,-0.6617
TCGA-86-A4JF-01,0.4647
TCGA-86-A4P7-01,-0.4668
TCGA-86-A4P8-01,-0.3054
TCGA-93-A4JN-01,-0.4678
TCGA-93-A4JO-01,-0.3381
TCGA-93-A4JP-01,-0.3097
TCGA-93-A4JQ-01,-0.0216
TCGA-97-A4LX-01,0.3490
TCGA-97-A4M0-01,-0.3842
TCGA-97-A4M1-01,-0.5291
TCGA-97-A4M2-01,-0.3066
TCGA-97-A4M3-01,-0.6158
TCGA-97-A4M5-01,-0.4045
TCGA-97-A4M6-01,-0.4346
TCGA-97-A4M7-01,-0.4178
TCGA-L4-A4E5-01,-0.2310
TCGA-MN-A4N1-01,-0.5937
TCGA-MN-A4N4-01,-0.5686
TCGA-MN-A4N5-01,0.3056
TCGA-MP-A4SV-01,-0.0879
TCGA-MP-A4SW-01,-0.4720
TCGA-MP-A4SY-01,-0.0571
TCGA-MP-A4T7-01,-0.5538
TCGA-MP-A4T8-01,-0.6281
TCGA-MP-A4T9-01,-0.1564
TCGA-MP-A4TA-01,-0.5211
TCGA-MP-A4TC-01,0.7699
TCGA-MP-A4TI-01,0.8440
TCGA-MP-A4TK-01,-0.5029
TCGA-69-A59K-01,2.9165
TCGA-95-A4VK-01,-0.5601
TCGA-95-A4VN-01,5.1821
TCGA-95-A4VP-01,-0.5381
TCGA-MP-A4T4-01,1.7527
TCGA-MP-A4T6-01,-0.5362
TCGA-MP-A4TD-01,-0.6158
TCGA-MP-A4TE-01,-0.6070
TCGA-MP-A4TF-01,0.2962
TCGA-MP-A4TH-01,-0.4527
TCGA-MP-A4TJ-01,0.4911
TCGA-MP-A5C7-01,-0.6493
TCGA-NJ-A4YF-01,-0.6640
TCGA-NJ-A4YG-01,-0.4780
TCGA-NJ-A4YI-01,-0.0533
TCGA-NJ-A4YP-01,-0.5611
TCGA-NJ-A4YQ-01,-0.3329
TCGA-NJ-A55A-01,-0.4305
TCGA-NJ-A55O-01,-0.1769
TCGA-NJ-A55R-01,-0.5761
TCGA-O1-A52J-01,-0.4690
TCGA-35-3615-01,-0.6022
TCGA-44-2655-01,-0.5677
TCGA-44-2656-01,1.2969
TCGA-44-2659-01,-0.4589
TCGA-44-2662-01,1.0969
TCGA-44-2665-01,0.0255
TCGA-44-2666-01,-0.0936
TCGA-44-2668-01,0.7559
TCGA-55-1592-01,-0.4352
TCGA-55-1594-01,-0.3718
TCGA-55-1595-01,-0.3974
TCGA-55-1596-01,-0.6069
TCGA-64-1676-01,0.4056
TCGA-64-1677-01,-0.2070
TCGA-64-1678-01,-0.6658
TCGA-64-1680-01,-0.5760
TCGA-67-3770-01,-0.5150
TCGA-67-3771-01,-0.4497
TCGA-67-3772-01,-0.6345
TCGA-67-3773-01,-0.2689
TCGA-67-3774-01,-0.4716
TCGA-49-AAQV-01,-0.3281
TCGA-49-AAR0-01,-0.5733
TCGA-49-AAR2-01,-0.6303
TCGA-4B-A93V-01,2.2471
TCGA-55-A57B-01,-0.4024
TCGA-99-AA5R-01,-0.0995
TCGA-L9-A50W-01,-0.6390
TCGA-L9-A5IP-01,-0.2600
TCGA-L9-A743-01,-0.0620
TCGA-L9-A7SV-01,-0.5967
TCGA-L9-A8F4-01,-0.4421
TCGA-NJ-A7XG-01,-0.6360
TCGA-S2-AA1A-01,-0.4045
TCGA-49-AAR3-01,1.1126
TCGA-49-AAR4-01,-0.1825
TCGA-49-AAR9-01,-0.6297
TCGA-49-AARE-01,-0.6242
TCGA-49-AARN-01,-0.4100
TCGA-49-AARO-01,-0.2447
TCGA-49-AARQ-01,-0.5741
TCGA-49-AARR-01,-0.2787
TCGA-73-A9RS-01,-0.2091
TCGA-05-4244-01,0.4637
TCGA-05-4249-01,-0.3981
TCGA-05-4250-01,1.1011
TCGA-35-4122-01,0.5094
TCGA-35-4123-01,1.6809
TCGA-44-2657-01,-0.4092
TCGA-44-2661-01,-0.2435
TCGA-44-3398-01,0.2564
TCGA-44-3918-01,2.4161
TCGA-44-3919-01,0.0656
TCGA-44-4112-01,-0.3593
TCGA-05-4382-01,-0.1769
TCGA-05-4389-01,-0.2374
TCGA-05-4395-01,-0.4338
TCGA-05-4397-01,-0.5418
TCGA-05-4398-01,2.2029
TCGA-05-4402-01,-0.4950
TCGA-05-4403-01,-0.4887
TCGA-05-4418-01,-0.1219
TCGA-05-4420-01,-0.6102
TCGA-05-4422-01,-0.4565
TCGA-05-4426-01,0.6038
TCGA-05-4430-01,-0.3838
TCGA-05-4432-01,-0.4371
TCGA-05-4434-01,0.4629
TCGA-38-4625-01,5.5231
TCGA-38-4626-01,-0.0090
TCGA-38-4627-01,-0.5123
TCGA-38-4628-01,-0.5852
TCGA-38-4629-01,0.5704
TCGA-38-4630-01,-0.5748
TCGA-44-3396-01,0.6542
TCGA-49-4486-01,-0.6607
TCGA-49-4494-01,-0.3969
TCGA-49-4501-01,-0.4121
TCGA-49-4505-01,-0.2854
TCGA-49-4506-01,-0.5308
TCGA-49-4507-01,-0.6006
TCGA-49-4510-01,-0.5655
TCGA-73-4659-01,-0.4173
