GENE_ID	55509	29126	10320	3665	5371	6772	6773	
COMMON	BATF3	CD274	IKZF1	IRF7	PML	STAT1	STAT2	
TCGA-DA-A1HY-06	-0.8931	-0.2333	-0.5421	-0.3152	0.0329	-0.1705	-0.3423	
TCGA-DA-A1I1-06	1.0911	-0.0071	-0.1522	-0.2650	-0.5293	1.3352	-0.0467	
TCGA-DA-A1I2-06	-0.4697	-0.2617	-0.4280	0.7051	-0.0183	0.8901	2.3914	
TCGA-DA-A1I4-06	-0.3859	-0.2638	-0.3439	-0.1544	-0.4784	-0.7691	-0.2255	
TCGA-DA-A1I5-06	0.1829	0.2069	-0.0636	-0.4305	-0.2642	-0.0193	-0.5382	
TCGA-DA-A1I7-06	0.6523	-0.3457	-0.5077	-0.2632	0.3949	-0.2330	-0.9693	
TCGA-DA-A1I8-06	0.7186	-0.3443	-0.5024	-0.3206	-0.7514	-0.4699	-0.1907	
TCGA-DA-A1IA-06	-0.8480	-0.2904	-0.5547	0.3061	0.9017	-1.0160	1.5170	
TCGA-DA-A1IB-06	1.4130	0.0338	2.2383	0.5477	-0.1250	0.6396	-0.0529	
TCGA-DA-A1IC-06	-0.8539	-0.2146	-0.4663	0.1945	-0.4469	-0.5317	-0.4174	
TCGA-EB-A1NK-01	-0.8509	-0.3386	-0.5151	-0.7358	-0.1429	-0.8596	-1.0510	
TCGA-EB-A24C-01	-0.8854	-0.3483	-0.5640	-0.2760	-0.3484	-0.8408	0.5259	
TCGA-EB-A24D-01	-0.6457	-0.3353	-0.3985	-1.0313	-0.9543	-0.7154	-0.4378	
TCGA-EB-A299-01	-0.0171	-0.3377	-0.5039	0.0561	0.0039	-0.5918	-0.5957	
TCGA-EE-A17X-06	-0.9799	-0.3302	-0.5363	-0.6081	-0.1439	-0.7957	-0.2584	
TCGA-EE-A17Y-06	0.5018	-0.3688	-0.5781	-0.6578	-0.4344	-0.8125	-1.0918	
TCGA-EE-A17Z-06	-0.2548	-0.3753	-0.5776	-0.8610	-0.1456	-1.0431	0.3335	
TCGA-EE-A181-06	-0.0814	-0.0723	0.0068	-0.1327	0.2950	1.9354	0.5732	
TCGA-EE-A182-06	-0.5955	-0.3551	-0.5069	-0.5448	4.2922	-1.0529	-0.0283	
