GENE_ID	29126	5916	6256	7008	
COMMON	CD274	RARG	RXRA	TEF	
TCGA-EE-A20B-06	-0.3275	-0.1858	0.5622	1.0247	
TCGA-EE-A20C-06	-0.2715	-0.7533	1.0847	4.0668	
TCGA-EE-A20F-06	-0.2696	-0.4743	-1.4529	-0.8740	
TCGA-EE-A20H-06	-0.3644	2.8263	-0.6377	-0.2768	
TCGA-EE-A20I-06	-0.1725	-1.3415	0.6146	-0.6516	
TCGA-EE-A29A-06	-0.2888	1.4166	0.3466	3.0551	
TCGA-EE-A29B-06	-0.3379	1.5580	0.2592	0.2031	
TCGA-EE-A29C-06	-0.3301	-0.8752	0.6464	-1.1612	
TCGA-EE-A29D-06	-0.3229	0.0993	-1.5080	-0.3735	
TCGA-EE-A29E-06	-0.3807	-0.3362	-0.5820	-1.0916	
TCGA-EE-A29G-06	-0.3245	3.1386	4.7433	0.3748	
TCGA-EE-A29H-06	-0.2527	-0.2200	0.0966	-0.7753	
TCGA-EE-A29L-06	-0.3621	-1.0437	-1.5304	0.4641	
TCGA-EE-A29M-06	-0.1116	-0.3960	-0.7678	-0.6816	
TCGA-EE-A29N-06	-0.0231	-0.9825	-1.2796	-0.7129	
TCGA-EE-A29P-06	-0.0603	-0.3584	-1.0332	1.0494	
TCGA-EE-A29Q-06	-0.2958	-1.1829	-1.6971	-0.6816	
TCGA-EE-A29R-06	-0.3571	0.0083	-0.7794	-0.7994	
TCGA-EE-A29S-06	-0.3176	0.3848	-1.2133	-0.1291	
TCGA-EE-A29T-06	-0.0325	1.4122	-0.5657	0.5484	
TCGA-EE-A29V-06	-0.3220	0.1909	0.6108	0.0721	
TCGA-EE-A29W-06	-0.3781	0.8588	0.9821	1.4753	
TCGA-EE-A29X-06	-0.0568	-0.7279	-0.7344	0.0429	
TCGA-EE-A2A0-06	-0.1830	0.2694	-1.5503	-1.0870	
TCGA-EE-A2A1-06	-0.0038	0.9511	0.6809	0.0623	
TCGA-EE-A2A2-06	-0.2602	0.0799	-1.6529	-0.0587	
TCGA-EE-A2A5-06	-0.3448	1.2999	0.8096	0.7323	
TCGA-EE-A2A6-06	-0.2221	-0.5156	-0.2663	1.0283	
TCGA-EE-A2GB-06	-0.3100	-0.8038	-1.1576	0.5238	
TCGA-EE-A2GC-06	-0.1410	-1.3013	-1.4988	0.1974	
TCGA-EE-A2GD-06	-0.2045	-0.3657	-1.0337	0.6413	
TCGA-EE-A2GE-06	-0.0156	2.2717	-0.5141	-0.8085	
TCGA-EE-A2GH-06	-0.2660	-0.3237	-0.8952	-0.7396	
TCGA-EE-A2GI-06	-0.2134	-0.5867	-1.3990	0.4925	
TCGA-EE-A2GJ-06	-0.1575	0.4188	-1.0982	-0.0881	
TCGA-EE-A2GK-06	-0.2594	-1.0838	-0.3836	-0.4593	
TCGA-EE-A2GL-06	-0.2270	0.7723	-1.2238	-0.1131	
TCGA-EE-A2GM-06	-0.3135	-0.5015	-1.0538	-1.1661	
TCGA-EE-A2GN-06	-0.3493	1.2324	2.7347	0.1034	
TCGA-EE-A2GO-06	-0.3027	1.0877	-0.8991	1.4582	
TCGA-EE-A2GP-06	-0.2249	-0.2363	-0.1633	-0.8478	
TCGA-EE-A2GR-06	-0.3807	-1.2025	-1.6171	0.8509	
TCGA-EE-A2GS-06	-0.3014	0.0175	-0.6880	-0.9344	
TCGA-EE-A2GT-06	-0.3398	-0.7136	-0.2903	0.3117	
TCGA-EE-A2GU-06	-0.0875	-0.9983	-0.7251	-0.6174	
TCGA-EE-A2M5-06	2.3548	0.2642	-0.7424	-0.8814	
TCGA-EE-A2M6-06	-0.3211	-0.4754	-0.4395	-0.3913	
TCGA-EE-A2M7-06	-0.3371	3.6749	0.8419	5.6356	
TCGA-EE-A2M8-06	0.2724	-0.0256	-0.5920	0.1849	
TCGA-EE-A2MC-06	0.1699	-1.2212	-1.3146	-0.6871	
TCGA-EE-A2MD-06	-0.2988	-0.7730	0.3579	-0.8730	
TCGA-EE-A2ME-06	0.1450	-1.0042	-0.4572	0.9300	
TCGA-EE-A2MG-06	-0.1832	-0.8907	-0.1433	-0.6532	
TCGA-EE-A2MH-06	-0.3219	0.2748	-1.3967	0.4469	
TCGA-EE-A2MI-06	-0.1185	-1.3353	0.4425	0.2655	
TCGA-EE-A2MJ-06	-0.0458	-0.8529	-0.8605	0.7422	
TCGA-EE-A2MK-06	-0.0083	-0.3783	-1.2291	1.0535	
TCGA-EE-A2ML-06	-0.0431	0.1549	-1.1725	2.8440	
TCGA-EE-A2MM-06	-0.2953	0.5302	-1.2017	-0.8264	
TCGA-EE-A2MN-06	-0.2254	-0.2887	1.0070	5.6473	
TCGA-EE-A2MP-06	-0.2324	-0.4084	-0.3187	0.0922	
TCGA-EE-A2MQ-06	-0.1389	0.0504	-0.9344	-0.2134	
TCGA-EE-A2MR-06	1.0092	-0.8501	-0.3401	-0.2199	
TCGA-EE-A2MS-06	-0.3223	2.0922	-0.7300	1.1854	
TCGA-EE-A2MT-06	-0.3056	0.3000	-1.0741	-1.1792	
TCGA-EE-A2MU-06	0.1556	-1.0200	-0.4173	0.4912	
TCGA-EE-A3AA-06	-0.2480	0.0612	-0.7112	0.4102	
TCGA-EE-A3AB-06	-0.3403	2.0891	0.1844	-0.1530	
TCGA-EE-A3AC-06	-0.1714	0.3986	-0.0572	-0.6264	
TCGA-EE-A3AD-06	-0.3513	-0.5842	-0.6929	-0.1135	
TCGA-EE-A3AE-06	-0.1064	-1.1961	-0.8284	0.6235	
TCGA-EE-A3AF-06	-0.3144	-0.4728	-1.2733	-0.2072	
TCGA-EE-A3AG-06	-0.3744	-0.0484	-1.5805	-0.4175	
TCGA-EE-A3AH-06	-0.3414	2.9330	2.7353	1.9200	
TCGA-ER-A193-06	0.5092	-0.7327	-0.1265	0.2932	
TCGA-ER-A194-01	-0.3317	0.0734	2.2080	-0.7634	
TCGA-ER-A195-06	-0.1465	0.3633	0.7215	2.3708	
TCGA-ER-A196-01	-0.2353	1.2841	1.3444	-1.0944	
TCGA-ER-A197-06	-0.2421	-1.1190	0.1038	-0.5365	
TCGA-ER-A198-06	-0.2383	-0.9321	-0.2388	-0.9487	
TCGA-ER-A199-06	-0.1465	0.0735	-0.8760	-0.5754	
