GENE_ID,29126,23598,57215,115196
COMMON,CD274,PATZ1,THAP11,ZNF554
TCGA-50-6673-01,-0.5793,-0.2894,-0.8537,0.3020
TCGA-55-6968-01,-0.1664,0.6389,0.9150,-0.5183
TCGA-55-6969-01,-0.3596,0.0740,0.6582,-0.7826
TCGA-55-6970-01,-0.2127,-1.1631,-0.7861,-0.8718
TCGA-55-6971-01,-0.0352,-0.6144,-0.7147,-0.7268
TCGA-55-6972-01,-0.6738,-0.4023,-0.1191,0.1795
TCGA-55-6975-01,-0.6544,-0.7187,1.0205,-2.0584
TCGA-55-6978-01,2.3718,0.2726,-1.0039,-0.9708
TCGA-55-6979-01,0.6786,-0.7621,-0.7500,-0.1070
TCGA-55-6980-01,-0.3290,-1.0261,0.1589,-0.8721
TCGA-55-6981-01,-0.3749,0.7300,-1.1280,-1.1418
TCGA-55-6982-01,-0.3420,-0.7106,-0.3998,-1.1956
TCGA-55-6983-01,-0.5586,1.4859,0.8310,0.0603
TCGA-55-6984-01,-0.5363,-1.3195,-0.9482,-1.1383
TCGA-55-6985-01,-0.2006,-0.5306,1.0815,-0.6260
TCGA-55-6986-01,-0.4888,2.4884,-1.0313,1.2035
TCGA-55-6987-01,0.3860,-0.9292,0.3359,-0.9171
TCGA-75-6214-01,-0.2893,-1.7290,-0.3561,-0.5538
TCGA-75-7025-01,-0.5543,0.3901,1.6011,0.2600
TCGA-75-7027-01,-0.5973,-0.6680,0.7884,-2.0950
TCGA-75-7030-01,-0.4858,-0.6966,0.3840,0.4539
TCGA-75-7031-01,-0.5268,-0.2116,-0.1233,-0.3688
TCGA-80-5607-01,-0.3948,-1.2381,-0.1386,-0.1819
TCGA-80-5608-01,-0.4496,-0.3749,-0.0115,-0.1164
TCGA-86-6851-01,0.0125,-0.5888,-0.3353,0.3079
TCGA-91-6830-01,-0.3442,-1.0528,-0.0830,-0.7652
TCGA-91-6840-01,-0.5767,0.8388,0.4884,0.8141
TCGA-91-6847-01,-0.5588,13.3995,-0.8731,2.3452
TCGA-91-6848-01,1.5537,-1.1684,1.8498,-2.3232
TCGA-91-6849-01,-0.5902,-0.2005,-1.3399,-0.8061
TCGA-95-7039-01,-0.3238,-1.0417,2.0244,-0.6313
TCGA-95-7043-01,-0.6608,1.3730,0.3040,-1.3331
TCGA-38-7271-01,-0.3373,-0.1120,1.3914,-0.8050
TCGA-44-5644-01,-0.6636,-0.4597,0.2184,-0.3713
TCGA-50-7109-01,-0.5905,0.9761,-0.3888,-0.1021
TCGA-55-7227-01,-0.0036,-0.5816,-0.0697,-0.3795
TCGA-55-7281-01,-0.5698,-0.7238,-1.4350,-0.4246
TCGA-55-7283-01,-0.4983,0.6118,0.3728,0.6291
TCGA-55-7570-01,-0.5905,0.4459,1.0241,-1.5542
TCGA-55-7573-01,-0.5031,0.6314,0.5078,0.2787
TCGA-55-7574-01,-0.4871,-0.9823,-0.3338,0.2512
TCGA-78-7143-01,-0.4278,0.3039,-1.8921,0.6280
TCGA-78-7145-01,-0.4193,-0.9913,-0.6257,-1.9150
TCGA-78-7146-01,-0.1895,-0.9947,-1.2240,-1.2663
TCGA-78-7147-01,-0.6277,2.1101,0.6156,0.4833
TCGA-78-7148-01,-0.5902,0.5217,0.4460,0.7626
TCGA-78-7149-01,-0.6771,1.5920,-0.0688,-0.7809
TCGA-78-7150-01,-0.6123,-0.4266,0.3784,-1.7787
TCGA-78-7152-01,-0.5958,0.0140,-1.4940,-0.7684
TCGA-78-7153-01,-0.6800,0.9302,-0.0260,-0.6002
TCGA-78-7154-01,-0.5772,0.6456,1.7304,-0.5621
TCGA-78-7155-01,-0.5883,-0.0515,-1.6100,-0.1117
TCGA-78-7156-01,-0.6659,0.6694,-0.6575,-0.8155
TCGA-78-7158-01,-0.5476,2.0897,-0.3543,0.6578
TCGA-78-7159-01,-0.5495,0.0308,-0.1088,1.9093
TCGA-78-7160-01,-0.3479,-0.8559,-0.6389,-0.2875
TCGA-78-7161-01,-0.6452,0.9432,0.6073,1.9060
TCGA-78-7220-01,-0.5295,-1.3184,-1.5703,0.0220
TCGA-93-7348-01,-0.5639,0.2640,-0.9697,0.1490
TCGA-97-7546-01,0.0191,-0.8737,-1.4186,0.4472
TCGA-97-7547-01,-0.4419,-0.0584,0.2864,-0.3868
TCGA-97-7552-01,-0.1876,-0.9173,0.1870,-0.0196
TCGA-97-7553-01,0.0445,-0.6910,0.0958,0.3447
TCGA-97-7554-01,1.5600,-0.4186,-1.0014,0.7008
TCGA-99-7458-01,0.7516,-0.6877,-1.1528,-0.2782
TCGA-44-7659-01,-0.3963,0.2046,-0.7315,2.0475
TCGA-44-7660-01,-0.3695,5.8443,-1.3038,-1.4919
TCGA-44-7661-01,3.7644,-1.0809,-1.0834,-1.1590
TCGA-44-7662-01,-0.0744,0.7373,0.5410,-0.5290
TCGA-44-7667-01,-0.5850,0.8564,5.1822,-0.9451
TCGA-44-7669-01,-0.2880,0.8970,-1.5537,-1.3360
TCGA-44-7670-01,-0.5105,1.0348,-0.1796,0.0249
TCGA-44-7671-01,-0.6136,-0.4912,-0.4674,-1.2755
TCGA-44-7672-01,-0.0540,-0.6465,0.8652,-0.1185
TCGA-53-7624-01,-0.0517,-1.3910,0.5643,-1.8663
TCGA-53-7626-01,-0.3013,-0.1248,0.1917,-0.1288
TCGA-55-7576-01,-0.4107,0.4203,0.3681,-0.7629
TCGA-64-1679-01,-0.2520,-0.9932,-1.0591,-0.1416
TCGA-64-1681-01,-0.5463,-0.6685,0.7872,-0.3567
TCGA-78-7162-01,-0.5215,0.5399,-0.4430,0.0308
TCGA-78-7163-01,-0.4598,-0.7665,2.3446,-0.4299
TCGA-78-7166-01,-0.5939,0.8381,-0.9788,-0.5501
TCGA-78-7167-01,-0.6833,-0.0968,0.2942,0.4878
TCGA-78-7535-01,-0.5789,-0.8607,-1.1422,-0.3813
TCGA-78-7536-01,-0.5590,1.0734,-0.8601,-1.0637
TCGA-78-7537-01,-0.6309,0.2675,0.1331,0.5552
TCGA-78-7539-01,-0.3948,0.3054,-0.2857,11.6304
TCGA-78-7540-01,-0.5693,-0.5486,-0.9911,-1.2329
TCGA-78-7542-01,1.8260,-1.3109,0.4126,-1.2909
TCGA-78-7633-01,-0.6145,0.2847,-1.2390,-1.3812
TCGA-86-7711-01,-0.4239,-1.7975,0.0664,-1.9033
TCGA-86-7713-01,-0.5471,1.0332,-1.2447,-0.7976
