# Warning:  Unknown gene:  
GENE_ID	571	602	29126	1390	2113	2114	54815	3097	3159	3297	3659	4791	4800	4824	5371	5914	5966	5970	5971	6776	7005	7004	
COMMON	BACH1	BCL3	CD274	CREM	ETS1	ETS2	GATAD2A	HIVEP2	HMGA1	HSF1	IRF1	NFKB2	NFYA	NKX3-1	PML	RARA	REL	RELA	RELB	STAT5A	TEAD3	TEAD4	
TCGA-50-5946-01	0.1601	-0.9378	-0.5717	-0.6721	-1.1598	-0.8979	4.6883	-0.7214	0.0043	1.4159	-1.0620	-0.3581	1.9266	NA	-1.0850	0.7821	0.3653	0.1168	-1.4743	-0.7496	2.6234	0.3987	
TCGA-50-6591-01	-0.1211	-1.4793	-0.6752	4.3279	-0.6839	-1.2668	1.3389	1.7328	0.9130	2.8437	-1.4181	-1.2866	8.2968	NA	-1.2753	2.0919	-1.2055	-0.4026	-1.2527	-1.4118	1.4752	0.3675	
TCGA-50-6592-01	0.9549	0.0315	-0.3273	0.1607	0.7140	-0.6122	0.0725	0.2722	1.3880	0.2812	1.3708	2.0126	0.9509	NA	-0.0649	-1.2633	0.1376	0.1026	3.1620	0.4640	1.0723	2.4629	
TCGA-50-6593-01	-0.6276	-0.5113	-0.1564	-0.4129	-0.2087	-0.6996	0.4930	0.2325	0.6052	4.0975	-0.8292	-0.1403	0.8037	NA	-0.2683	0.9232	0.0842	2.0754	-0.0081	0.3153	0.5176	-0.0156	
TCGA-50-6594-01	1.1721	-0.8178	6.6527	0.3153	-0.9183	-1.1188	-0.4514	0.2822	1.4405	0.5309	-0.7776	-0.6116	0.4808	NA	-0.0233	4.0658	0.0301	-0.0774	-1.4113	0.0808	-1.1905	-0.6927	
TCGA-55-6543-01	-0.3189	1.4020	-0.1977	0.3438	-0.4575	0.1859	0.1361	-0.2329	-0.7041	-0.1027	0.3165	-0.9962	-1.5006	NA	-0.4975	1.8598	0.0750	2.1173	-0.4469	-0.3868	-0.4658	-0.1424	
TCGA-67-4679-01	-0.7884	0.3562	-0.3848	0.0121	-0.1938	0.6842	-0.3096	-0.5462	-0.5748	-0.4544	-0.8348	-0.1679	0.1272	NA	-0.6158	1.1661	1.3193	-0.6067	-0.0542	0.0436	2.4013	-0.7778	
TCGA-67-6215-01	-0.6112	2.3622	-0.5764	-0.6778	-0.9689	-0.3326	-0.1071	-0.7697	-0.3188	-0.9687	-0.8423	-0.4493	1.3248	NA	-0.5435	-0.0329	2.1308	1.0493	-0.4700	-0.7984	0.8593	-0.0300	
TCGA-67-6216-01	-0.7148	1.3824	-0.2188	-0.2628	-0.3195	0.1117	1.2399	-0.9048	-0.6360	-0.5825	-0.7220	-0.0493	0.4118	NA	2.4807	0.9584	0.9873	0.3214	0.4097	-0.2247	0.1415	-1.3350	
TCGA-67-6217-01	-0.0423	-0.3650	-0.4384	-0.2425	-0.1141	-0.4410	-1.8412	-0.0610	-0.6132	-1.4242	0.8251	-0.5134	-0.5253	NA	-0.5746	-0.3333	0.5961	0.3583	-0.7031	-0.2441	-0.7756	-1.1612	
TCGA-73-4658-01	0.0950	-0.5041	1.6764	1.5461	0.8864	-0.1441	-0.2279	-0.6911	0.0789	-0.1568	-0.6124	-0.7021	0.7120	NA	-0.1463	-0.0022	0.4399	-0.3617	-0.7611	0.0640	-0.3797	0.6335	
TCGA-73-4676-01	-0.7442	-0.6067	0.0576	0.3695	0.2620	-0.9498	-1.4398	-0.4865	0.3458	2.1835	-0.8337	-0.6845	0.2401	NA	-0.4453	0.5147	0.6690	1.1332	-0.5699	-1.1064	-1.6344	-0.6625	
TCGA-75-5122-01	0.7238	-0.2814	1.5207	5.5612	1.4166	-0.0977	-1.0206	0.1439	-0.3206	0.6081	2.4983	-0.0349	-0.2202	NA	0.3537	0.3021	0.3905	-0.4987	1.0256	1.8472	-2.3364	-0.7320	
TCGA-75-5125-01	-0.0988	-0.5001	4.2276	-0.1037	-0.2182	-1.0973	-0.2197	4.1729	0.6182	0.6549	0.4211	-0.4132	-0.3166	NA	0.7755	-0.0090	1.0280	2.8847	0.6496	0.7102	-0.3257	-0.4251	
TCGA-75-5126-01	0.4136	0.7115	3.9603	0.6151	0.3846	-0.4663	-0.2376	0.2803	3.2007	1.7115	0.6776	-0.2635	-1.1169	NA	1.3267	-0.1187	0.0647	0.3285	0.4383	0.7863	-1.1787	1.1146	
TCGA-75-6203-01	0.3632	-0.5834	-0.3010	-0.4725	0.8304	0.2704	-0.2377	-0.3039	-0.7525	-0.8934	-0.1373	-1.0336	-1.6128	NA	-0.5024	0.1398	-0.6761	-0.0635	-0.9772	1.6405	-1.7890	0.2079	
TCGA-75-6205-01	0.4396	-0.5320	0.3350	0.2333	1.2012	-0.7527	0.0888	0.5996	0.0266	2.3724	0.7098	0.2048	-0.2568	NA	1.3379	-0.1602	0.2969	0.4069	0.9338	1.3354	-1.0141	-0.0598	
TCGA-75-6206-01	-0.4704	-1.0803	-0.5646	0.2169	-0.7772	0.4818	-0.6329	-0.6305	-0.5859	2.3742	-1.0557	-0.9679	0.7234	NA	-0.6173	0.0225	-0.0182	-0.7110	-1.3311	-0.5487	1.4308	0.2492	
TCGA-75-6207-01	1.0161	-1.1003	2.0886	-0.3473	-0.6485	-0.8862	2.8577	1.3608	0.7636	4.3708	-0.9865	-0.1838	0.8247	NA	-0.3522	0.0352	-0.0176	0.9685	-0.7460	-1.0975	-0.7692	3.0928	
TCGA-75-6211-01	0.6132	-0.5379	-0.6143	0.3918	-0.4765	-0.1519	-0.5410	0.1713	0.0418	-2.3455	-0.9274	-1.7062	-0.8347	NA	-1.0614	0.1618	-1.1049	-1.6294	-1.6970	-0.1078	-1.8393	0.4416	
TCGA-75-6212-01	-0.5962	-0.2518	-0.4770	-0.2681	0.8244	2.1635	-0.0532	0.3003	-0.7001	-0.9659	-1.1433	-0.9845	-1.0829	NA	0.2636	0.3991	0.1885	-0.5781	-0.7505	-0.2944	-1.3816	-0.8024	
TCGA-86-6562-01	1.0001	0.4883	-0.3793	-0.4034	-0.2829	0.4042	-0.0136	-0.1815	-0.5316	-0.9159	-0.9601	-0.7704	1.0792	NA	-0.9323	1.2321	3.9687	-0.3169	-0.3890	-0.3086	-0.0063	-0.0306	
TCGA-05-4396-01	-1.1470	0.9609	-0.5945	-0.0326	-0.5906	-0.0090	-0.6833	-0.0973	-0.4791	0.3613	-0.5924	-0.1109	0.3679	NA	-1.1002	-0.5072	1.6263	1.1212	-1.1354	-1.2558	3.5563	-1.1934	
TCGA-05-4405-01	0.1810	0.2873	-0.3450	-0.1759	-0.7028	-0.8268	0.9859	-0.6732	-0.8139	-0.1299	-0.8936	-0.3509	1.8588	NA	0.9103	0.5417	1.7962	-0.3837	-0.3890	-0.0476	0.6167	-0.5555	
TCGA-05-4410-01	-0.3888	-0.3664	-0.2225	-0.8732	-0.5220	-1.1071	1.1520	0.4959	-0.1975	-0.1778	0.5287	-1.1602	0.3345	NA	-0.4541	0.3792	0.1553	1.0917	-0.3077	1.1077	0.3813	-0.0971	
TCGA-05-4415-01	1.9163	0.1683	-0.4181	5.0377	-0.8826	-1.2434	-1.1448	-0.2222	1.6658	1.3002	0.4567	6.7769	-0.0181	NA	-0.4664	-1.6329	-0.7083	1.3411	2.1526	-0.4874	-2.5510	7.6044	
TCGA-05-4417-01	-0.2470	0.7742	-0.3454	0.7257	1.1014	0.0343	-0.3007	0.2470	-0.3191	1.7571	-0.0548	-0.2812	0.0398	NA	-0.7570	0.0465	1.0244	-0.0061	0.2953	-0.0320	-0.7935	0.2874	
TCGA-05-4424-01	-0.0903	-0.8095	-0.5102	-0.1084	0.1706	-0.4707	2.3551	-0.4787	0.0954	-0.3132	-0.7099	-1.0322	-0.1987	NA	-0.8755	0.8293	2.0812	-0.1097	-0.6160	-0.2212	-0.5126	-0.6181	
TCGA-05-4427-01	2.5285	0.1293	0.6042	-0.3267	-0.7044	-0.9753	0.0250	1.1054	-0.4830	0.8470	-0.3774	-0.5102	1.8593	NA	-0.3127	0.6999	1.8535	-0.3206	-0.7226	-0.5333	-0.2753	-0.7932	
TCGA-05-4433-01	1.0616	-0.4003	-0.4489	-0.8722	-0.1478	-0.1682	-0.5022	-0.3504	0.1136	-0.0397	1.5482	-0.0142	-0.0785	NA	0.8355	-0.1445	0.3244	-1.3807	-0.2612	0.6527	-0.2018	-0.5240	
TCGA-44-6774-01	1.6110	-0.2329	-0.4922	0.5236	0.8301	-0.4262	-0.7048	1.3999	0.1014	-0.5863	-0.7293	-0.2152	0.9079	NA	-0.0615	0.6246	-0.9345	3.0316	0.1446	0.2287	0.7023	0.9374	
