GENE_ID,5916,6256,7008,55509,10320,3665,5371,6772,6773
COMMON,RARG,RXRA,TEF,BATF3,IKZF1,IRF7,PML,STAT1,STAT2
TCGA-D3-A3CF-06,0.0107,-1.2291,-0.6095,-0.1742,0.4584,0.0032,-0.4298,-0.0932,1.1967
TCGA-D9-A148-06,-1.2072,-0.8123,0.1530,-0.9977,-0.4507,-0.9494,0.9810,-0.0885,0.7678
TCGA-D9-A149-06,0.1633,-1.3490,-0.7074,-0.8344,-0.2076,1.7526,7.8593,0.7875,1.8534
TCGA-D9-A1JW-06,0.1532,0.0117,-0.1747,-0.2127,0.1021,0.8246,1.2072,0.4550,1.3909
TCGA-D9-A1JX-06,1.3653,0.5243,1.7348,-0.4325,-0.1903,-0.7345,-0.1772,0.5957,0.5525
TCGA-D9-A1X3-06,-0.1210,-0.3794,0.4372,-0.5982,-0.5763,-0.7981,-0.2628,-1.0498,-0.6440
TCGA-DA-A1HV-06,-0.3512,-1.2153,1.7132,-0.1743,-0.1253,0.2574,0.4096,0.8275,0.9123
TCGA-DA-A1HW-06,-0.2508,2.4115,-0.6706,-0.2602,0.1437,-0.5942,-0.3516,2.1115,1.7718
TCGA-DA-A1HY-06,-0.4368,-1.1801,0.3739,-0.8931,-0.5421,-0.3152,0.0329,-0.1705,-0.3423
TCGA-DA-A1I1-06,-0.4997,-0.3061,2.4611,1.0911,-0.1522,-0.2650,-0.5293,1.3352,-0.0467
TCGA-DA-A1I2-06,-0.0015,-0.3751,-0.4461,-0.4697,-0.4280,0.7051,-0.0183,0.8901,2.3914
TCGA-DA-A1I4-06,-0.5075,-0.3582,-0.8475,-0.3859,-0.3439,-0.1544,-0.4784,-0.7691,-0.2255
TCGA-DA-A1I5-06,0.0157,-0.1568,-0.9441,0.1829,-0.0636,-0.4305,-0.2642,-0.0193,-0.5382
TCGA-DA-A1I7-06,0.9638,-0.6549,-0.1740,0.6523,-0.5077,-0.2632,0.3949,-0.2330,-0.9693
TCGA-DA-A1I8-06,2.2485,0.4018,1.4789,0.7186,-0.5024,-0.3206,-0.7514,-0.4699,-0.1907
TCGA-DA-A1IA-06,-0.7322,1.1505,-0.2165,-0.8480,-0.5547,0.3061,0.9017,-1.0160,1.5170
TCGA-DA-A1IB-06,-1.0171,-1.0171,-0.5821,1.4130,2.2383,0.5477,-0.1250,0.6396,-0.0529
TCGA-DA-A1IC-06,0.6062,-0.8912,-0.6787,-0.8539,-0.4663,0.1945,-0.4469,-0.5317,-0.4174
TCGA-EB-A1NK-01,-0.2150,0.9531,0.5559,-0.8509,-0.5151,-0.7358,-0.1429,-0.8596,-1.0510
TCGA-EB-A24C-01,-0.1050,-0.7550,-0.7171,-0.8854,-0.5640,-0.2760,-0.3484,-0.8408,0.5259
TCGA-EB-A24D-01,-0.8871,-0.6054,-0.0092,-0.6457,-0.3985,-1.0313,-0.9543,-0.7154,-0.4378
TCGA-EB-A299-01,2.7443,2.0296,1.8370,-0.0171,-0.5039,0.0561,0.0039,-0.5918,-0.5957
TCGA-EE-A17X-06,-0.8565,-0.9391,-1.0822,-0.9799,-0.5363,-0.6081,-0.1439,-0.7957,-0.2584
TCGA-EE-A17Y-06,0.7883,-0.7926,-1.0881,0.5018,-0.5781,-0.6578,-0.4344,-0.8125,-1.0918
TCGA-EE-A17Z-06,-0.0467,1.1203,0.5752,-0.2548,-0.5776,-0.8610,-0.1456,-1.0431,0.3335
TCGA-EE-A181-06,-0.5272,-1.0160,-0.2230,-0.0814,0.0068,-0.1327,0.2950,1.9354,0.5732
TCGA-EE-A182-06,1.8938,0.5814,-0.2351,-0.5955,-0.5069,-0.5448,4.2922,-1.0529,-0.0283
TCGA-EE-A183-06,-0.3520,0.5480,0.1760,0.0640,0.3996,0.6849,3.7777,-0.8532,0.3122
TCGA-EE-A184-06,-0.3660,-1.1814,0.8681,-0.8721,-0.3379,-0.4003,-0.3082,-0.5281,-0.0205
TCGA-EE-A185-06,-0.9414,-1.2129,-0.5235,-0.8928,-0.5921,-0.7772,0.0979,-0.9594,-0.2904
